"","Flag","FlagCountry","Beam","Draft","Length","Type","Name"
"71","MT","Malta",19.4,7.35,133.6,"Portacontenidors","X-PRESS VESUVIO"
"72","MT","Malta",19.4,7.35,133.6,"Portacontenidors","X-PRESS MONTE CERVINO"
"73","PT","Portugal",21.8,7.34,141,"Portacontenidors","VERONICA B"
"74","PT","Portugal",23.5,8.6,158,"Portacontenidors","NORDIC ISTRIA"
"75","PT","Portugal",40,14.02,275,"Portacontenidors","HERTA"
"76","SG","Singapur",51.2,15.52,366,"Portacontenidors","ONE MANCHESTER"
"77","TR","Turquia",29.8,11.4,210.45,"Portacontenidors","VIVIEN A"
"78","DK","Dinamarca",19.05,7.6,101,"Tancs","ALICE THERESA"
"79","DK","Dinamarca",19.6,8.35,130,"Tancs","SCANDIC"
"80","MT","Malta",18.6,7.81,110,"Tancs","NORTHSEA ALPHA"
"81","MT","Malta",18.2,7.77,115,"Tancs","ANDREA D"
"82","ES","Espanya",25.6,5.7,165,"Transbordadors","MARTIN I SOLER"
"83","IT","Itàlia",24.8,9.8,157,"Granelers","MATTEO BR"
"84","MT","Malta",18,4.77,141,"Càrrega (Lo-Lo)","AZOV CONFIDENCE"
"85","PA","Panamà",13.6,5.5,81,"Càrrega (Lo-Lo)","DES"
"86","TR","Turquia",28,9.79,179,"Granelers","SERVET ANA"
"87","ES","Espanya",26.2,6.2,172,"Transbordadors","CIUDAD DE GRANADA"
"88","ES","Espanya",26.4,6.7,176,"Transbordadors","VOLCAN DEL TEIDE"
"89","ES","Espanya",21,6,141.25,"Ro-Ro","L'AUDACE"
"90","ES","Espanya",21,6,141,"Car-carrier","BOUZAS"
"91","IT","Itàlia",26.6,6.4,199,"Transbordadors","TENACIA"
"92","IT","Itàlia",25.6,6.79,186,"Transbordadors","GNV SEALAND"
"93","IT","Itàlia",25.6,6.55,203,"Transbordadors","GNV BRIDGE"
"94","IT","Itàlia",29,6.53,161,"Transbordadors","GNV CRISTAL"
"95","IT","Itàlia",25.6,6,186,"Transbordadors","GNV SEALAND"
"96","BM","Bermuda",32.26,12.92,183,"Tancs","STENAWECO IMPULSE"
"97","MH","Illes Marshall",32.2,13.33,183.12,"Tancs","STI BATTERY"
"98","IT","Itàlia",34,7.2,238,"Ro-Ro","ECO BARCELONA"
"99","IT","Itàlia",30.4,7,253.8,"Transbordadors","CRUISE BARCELONA"
"100","IT","Itàlia",34,7.2,238,"Ro-Ro","ECO VALENCIA"
"101","IT","Itàlia",30.4,7,253.8,"Transbordadors","CRUISE ROMA"
"102","MT","Malta",46.4,12.52,295,"Tancs","BW LILAC"
"103","GB","Regne Unit",38.4,8.55,330,"Passatge","BRITANNIA"
"104","IT","Itàlia",32.2,7.2,253,"Passatge","AIDABLU"
"105","MT","Malta",43,8.75,331,"Passatge","MSC GRANDIOSA"
"106","MT","Malta",32.2,7.82,246.5,"Passatge","MARELLA EXPLORER 2"
"107","PA","Panamà",37.92,8.65,333.3,"Passatge","MSC FANTASIA"
"108","BS","Bahames",47,9.3,362,"Passatge","WONDER OF THE SEAS"
"109","BS","Bahames",32.2,7.9,279,"Passatge","VISION OF THE SEAS"
"110","MT","Malta",32.2,8.32,294,"Passatge","CELEBRITY CONSTELLATION"
"111","MT","Malta",39,8.23,326.5,"Passatge","CELEBRITY BEYOND"
"112","MT","Malta",25.46,5.95,181,"Passatge","AZAMARA QUEST"
"113","MT","Malta",39,8.23,306,"Passatge","CELEBRITY EDGE"
"114","NO","Noruega",28.8,6.65,228.33,"Passatge","VIKING VENUS"
"115","MH","Illes Marshall",25.46,5.83,181,"Passatge","SIRENA"
"116","BM","Bermuda",32.25,7.9,294,"Passatge","QUEEN VICTORIA"
"117","BM","Bermuda",32.25,7.9,294,"Passatge","QUEEN ELIZABETH"
"118","BS","Bahames",41.4,8.82,347,"Passatge","ANTHEM OF THE SEAS"
"119","GB","Regne Unit",42,8.8,344,"Passatge","IONA"
"120","GB","Regne Unit",42,8.8,344.5,"Passatge","IONA"
"121","IT","Itàlia",32.25,8,294,"Passatge","COSTA LUMINOSA"
"122","IT","Itàlia",32.2,7.2,253.33,"Passatge","AIDABLU"
"123","IT","Itàlia",32.25,8.1,294,"Passatge","COSTA LUMINOSA"
"124","IT","Itàlia",32.2,7.3,253.26,"Passatge","AIDASTELLA"
"125","BM","Bermuda",41,10.3,345,"Passatge","QUEEN MARY 2"
"126","PA","Panamà",32.2,7.8,292,"Passatge","CARNIVAL PRIDE"
"127","FR","França",18,4.7,131.5,"Passatge","LE BOUGAINVILLE"
"128","BS","Bahames",19,5.4,159,"Passatge","STAR PRIDE"
"129","BS","Bahames",19,5.4,159,"Passatge","STAR LEGEND"
"130","AG","Antigua i Barbuda",29.8,11.4,222,"Portacontenidors","AS CLEOPATRA"
"131","PA","Panamà",32.24,13.6,200,"Granelers","ROYAL ORION"
"132","AG","Antigua i Barbuda",27.4,11.82,171,"Tancs","SLOMAN THETIS"
"133","BS","Bahames",44,14.66,249.9,"Petroliers","LYRIC MAGNOLIA"
"134","CY","Xipre",27.34,11.22,182.55,"Tancs","BALTIC MONARCH"
"135","DK","Dinamarca",19.6,8,129.75,"Tancs","BISCAY"
"136","ES","Espanya",22.6,9.2,144,"Tancs","TINERFE"
"137","FR","França",27.4,11.52,184,"Tancs","ADARA"
"138","FR","França",27.4,11.5,184,"Tancs","ASTERION"
"139","IT","Itàlia",31,11.1,176,"Tancs","VALLE DI CORDOBA"
"140","LR","Libèria",32.26,14.52,229,"Petroliers","NORDIC JOSEPHINE"
"141","LR","Libèria",27.4,11.62,182.84,"Tancs","VORIAS"
"142","MH","Illes Marshall",27.4,11.71,184,"Tancs","HAFNIA ADAMITE"
"143","MH","Illes Marshall",32.24,14.18,228.59,"Tancs","SUNNY LIGER"
"144","MH","Illes Marshall",27.4,11.71,184.06,"Tancs","HAFNIA ALABASTER"
"145","MH","Illes Marshall",31,11.1,176,"Tancs","CAPE BRADLEY"
"146","MH","Illes Marshall",27.4,11.52,184.22,"Tancs","WONDER MIMOSA"
"147","MH","Illes Marshall",32.2,12.67,182.5,"Petroliers","KIBAZ"
"148","MH","Illes Marshall",27.4,11.52,184,"Tancs","PLUTO"
"149","MT","Malta",32.2,12.62,182.5,"Tancs","EMERALD"
"150","MT","Malta",32.2,12.62,182,"Tancs","EMERALD"
"151","MT","Malta",29.4,11.3,176.9,"Tancs","CASTILLO DE ARTEAGA"
"152","MT","Malta",25.3,12.15,182.14,"Tancs","CASTILLO DE TRUJILLO"
"153","MT","Malta",32.2,13.32,183.12,"Tancs","RED GARNET"
"154","MT","Malta",32.2,12.81,183,"Tancs","PINK CORAL"
"155","SG","Singapur",27.4,11.62,183,"Tancs","NORD SNOW QUEEN"
"156","SG","Singapur",27.4,11.9,184,"Tancs","HAFNIA MALACCA"
"157","SG","Singapur",38.4,13.32,220,"Tancs","HAFNIA PRIDE"
"158","TR","Turquia",30,12,222,"Portacontenidors","SASKIA A"
"159","AG","Antigua i Barbuda",16.5,6.26,93.28,"Càrrega (Lo-Lo)","GULF EXPRESS"
"160","BS","Bahames",28.5,10.58,189.99,"Granelers","MAZURY"
"161","CY","Xipre",14,6.25,111,"Càrrega (Lo-Lo)","ATLANTIC HORIZON"
"162","CY","Xipre",15.6,6.2,99.9,"Càrrega (Lo-Lo)","TELMO"
"163","ES","Espanya",16.5,6.7,118,"Càrrega (Lo-Lo)","MORAIME"
"164","ES","Espanya",15.2,7.05,118.55,"Càrrega (Lo-Lo)","ROIBEIRA"
"165","ES","Espanya",15.6,6.22,99.9,"Càrrega (Lo-Lo)","ANZORAS"
"166","ES","Espanya",14.4,6.27,89.9,"Càrrega (Lo-Lo)","MEDAL"
"167","MT","Malta",16.8,6.71,119.95,"Granelers","FOX"
"168","NL","Països Baixos",11.42,4.56,99.23,"Càrrega (Lo-Lo)","EEMS SERVANT"
"169","NL","Països Baixos",14.99,7.19,119.5,"Càrrega (Lo-Lo)","ARKLOW BEACON"
"170","NL","Països Baixos",11.42,4.56,99.23,"Càrrega (Lo-Lo)","EEMS STREAM"
"171","PA","Panamà",13.5,6.45,89,"Càrrega (Lo-Lo)","MUHSINE K"
"172","PA","Panamà",13.5,6.63,88.8,"Càrrega (Lo-Lo)","FAHRIYE K"
"173","TR","Turquia",16.8,6.7,119.95,"Granelers","BURAK DEVAL"
"174","AG","Antigua i Barbuda",12.4,4.36,88.56,"Càrrega (Lo-Lo)","VIKTORIA-B"
"175","IT","Itàlia",18.2,7.06,108,"Càrrega (Lo-Lo)","MARBELLA"
"176","PA","Panamà",13.8,5.8,91,"Càrrega (Lo-Lo)","TURGUT SAHIN"
"177","MT","Malta",15.96,5.51,95,"Petroliers","ECO ELYSIUM"
"178","PT","Portugal",15,6.5,87.5,"Petroliers","SCALI DEL TEATRO"
"179","PT","Portugal",15,6.5,87.5,"Petroliers","VORTEX"
"180","PT","Portugal",14.8,6.5,88.4,"Petroliers","VETRA"
"181","SG","Singapur",17.2,6.11,99.98,"Petroliers","EPIC ST. THOMAS"
"182","SG","Singapur",17.41,7.06,99.85,"Petroliers","JS LEKVAR"
"183","AG","Antigua i Barbuda",15.2,5.64,89.95,"Càrrega (Lo-Lo)","WILSON HANSTHOLM"
"184","BS","Bahames",23.6,10.22,190,"Granelers","MAMRY"
"185","BS","Bahames",28.5,10.4,190,"Granelers","GDYNIA"
"186","BS","Bahames",28.5,10.4,190.6,"Granelers","KUJAWY"
"187","CY","Xipre",23.6,10.67,200,"Granelers","ISA"
"188","CY","Xipre",23.7,10.4,185,"Granelers","SHOVELER"
"189","CY","Xipre",23.7,9.7,186.4,"Granelers","MANDARIN"
"190","GB","Regne Unit",15.5,6.65,106,"Càrrega (Lo-Lo)","KAREN C"
"191","LR","Libèria",19.6,8.79,115,"Ro-Ro","ADAPEARL"
"192","MH","Illes Marshall",27.2,9.82,169,"Granelers","SAGITTARIUS"
"193","MH","Illes Marshall",28.2,10.1,179.99,"Granelers","SEA FAITH"
"194","MT","Malta",22,9.37,142.43,"Càrrega (Lo-Lo)","TRANSBALTIC"
"195","NL","Països Baixos",16.5,7.12,134.5,"Càrrega (Lo-Lo)","MEDEMBORG"
"196","NO","Noruega",13.6,6.36,89.75,"Càrrega (Lo-Lo)","WILSON PORI"
"197","PA","Panamà",32.26,12.16,188,"Granelers","NOTA A"
"198","PA","Panamà",18.59,8.33,108,"Càrrega (Lo-Lo)","IMMENSITY"
"199","PA","Panamà",23,8.32,137.03,"Granelers","EYLEM"
"200","PA","Panamà",27.2,9.82,169.37,"Granelers","MARITIME VICTORY"
"201","PT","Portugal",30,10.22,180,"Granelers","HANSA BALTICA"
"202","SG","Singapur",32.26,12.8,190,"Granelers","MANDARIN SKY"
"203","FR","França",20,5.11,187,"Passatge","CLUB MED 2"
"204","MH","Illes Marshall",25,6,181,"Passatge","NAUTICA"
"205","CY","Xipre",18,7.11,110,"Tancs","GIOCONDA"
"206","DK","Dinamarca",22,9,147,"Tancs","TERN ISLAND"
"207","DK","Dinamarca",32.2,13.3,183,"Tancs","TORM NEW ZEALAND"
"208","DK","Dinamarca",22,9,147,"Tancs","TERN FORNS"
"209","DK","Dinamarca",19.05,7.6,101.39,"Tancs","KARINA THERESA"
"210","DK","Dinamarca",29.21,9.52,175.29,"Tancs","BRITTA MAERSK"
"211","DK","Dinamarca",32.2,12.2,182.9,"Tancs","TORM VOYAGER"
"212","DK","Dinamarca",15.6,6.3,106,"Tancs","ORASUND"
"213","DK","Dinamarca",15.2,5.6,90,"Tancs","ORALORA"
"214","FR","França",18,7,116,"Tancs","HYDRA"
"215","HK","Hong Kong",32.2,12.22,183.21,"Tancs","GRAN COUVA"
"216","IT","Itàlia",25.6,7.85,156,"Tancs","SARACENA"
"217","IT","Itàlia",15.4,6.45,100,"Tancs","IEVOLI SPRINT"
"218","IT","Itàlia",16.5,6.87,113.85,"Tancs","ETRUSCO"
"219","IT","Itàlia",15.4,6.11,100,"Tancs","FALESIA"
"220","LR","Libèria",24,9.72,149,"Tancs","CHEM PLUTO"
"221","LR","Libèria",32.2,13.32,183,"Tancs","NAVIG8 GLADIATOR"
"222","LR","Libèria",24,9.72,149,"Tancs","RICHMOND PARK"
"223","LR","Libèria",24,9.75,146,"Tancs","LAVENDER RAY"
"224","LR","Libèria",32.2,13.32,183.09,"Tancs","PACIFIC MOONSTONE"
"225","LR","Libèria",24.2,9.71,141,"Tancs","FOREST PARK"
"226","LR","Libèria",29.2,9.5,175.26,"Tancs","OM BORNEO"
"227","LR","Libèria",32.2,12.6,183.2,"Tancs","DIGNITY"
"228","LR","Libèria",32.2,13.32,183.23,"Tancs","NAVIG8 GAUNTLET"
"229","MH","Illes Marshall",27.4,11.71,184,"Tancs","NAVIG8 ALABASTER"
"230","MH","Illes Marshall",16.6,6.7,110,"Tancs","EMIRALP"
"231","MH","Illes Marshall",25.6,10.02,169,"Tancs","LOUIS P"
"232","MH","Illes Marshall",23.7,9.71,146,"Tancs","SONGA PEACE"
"233","MH","Illes Marshall",22.6,9.21,144,"Tancs","SONGA OPAL"
"234","MH","Illes Marshall",24,9.76,146,"Tancs","STREAM BALTIC"
"235","MH","Illes Marshall",32.2,13.32,185,"Tancs","NORD MIYABI"
"236","MH","Illes Marshall",17.2,7.2,123,"Tancs","HABIP BAYRAK"
"237","MH","Illes Marshall",20.4,8.71,127,"Tancs","MESABI"
"238","MH","Illes Marshall",27.4,11.56,184,"Tancs","ARDMORE DEFENDER"
"239","MH","Illes Marshall",32.2,13.28,183,"Tancs","SILVER EMILY"
"240","MH","Illes Marshall",25,10.52,160,"Tancs","FAIRCHEM BLUE SHARK"
"241","MH","Illes Marshall",20.4,8.71,128.6,"Tancs","SEA FORTUNE"
"242","MH","Illes Marshall",25,10.52,160,"Tancs","FAIRCHEM ANGEL"
"243","MH","Illes Marshall",32.2,13.29,183.31,"Tancs","STI GRAMERCY"
"244","MH","Illes Marshall",20.4,8.71,128.6,"Tancs","EL ZORRO"
"245","MH","Illes Marshall",22.4,9.7,161.65,"Tancs","AVIVA"
"246","MT","Malta",16.8,6.65,109,"Tancs","ATLANTIS ALHAMBRA"
"247","MT","Malta",16,6.34,108,"Tancs","HITRA"
"248","MT","Malta",16.6,4.6,140,"Tancs","MUBARIZ IBRAHIMOV"
"249","MT","Malta",16,6,108,"Tancs","ATLANTIS ARKI"
"250","MT","Malta",16.6,6.7,110,"Tancs","IVYAN"
"251","MT","Malta",16,6.33,122,"Tancs","BOMAR VESTA"
"252","MT","Malta",17.2,7.24,123,"Tancs","MED PAKIZE"
"253","MT","Malta",15,6.06,100,"Tancs","UMAR 1"
"254","MT","Malta",25.4,10.9,170,"Tancs","MED PACIFIC"
"255","MT","Malta",16.89,6.74,120,"Tancs","YM URANUS"
"256","MT","Malta",16.8,6.29,106,"Tancs","ATLANTIS ANTIBES"
"257","MT","Malta",17.2,7.2,123,"Tancs","HACI FATMA ANA"
"258","MT","Malta",16.6,7.11,104,"Tancs","INEBOLU"
"259","MT","Malta",19.5,7.49,128,"Tancs","BLACK STAR"
"260","MT","Malta",17.2,7.24,119.93,"Tancs","MED EMRE"
"261","MT","Malta",16,6.33,121.62,"Tancs","BOMAR HAUMEA"
"262","MT","Malta",16.8,6.3,105.5,"Tancs","OZDEN-S"
"263","MT","Malta",18,6.51,100.12,"Tancs","ZUGA"
"264","MT","Malta",16.9,6.75,119.6,"Tancs","BOMAR MERCURY"
"265","MT","Malta",20.4,8.71,127.2,"Tancs","NEW SPIRIT"
"266","NL","Països Baixos",19,7.85,127,"Tancs","VENEZIA D"
"267","NL","Països Baixos",18.8,7.41,115,"Tancs","WILHELMINE ESSBERGER"
"268","NL","Països Baixos",19,7.85,126.73,"Tancs","AIGRAN D"
"269","NL","Països Baixos",19,7.85,126.72,"Tancs","VENEZIA D"
"270","NO","Noruega",20.4,8.81,127,"Tancs","SIGAIA THERESA"
"271","PA","Panamà",32.2,13.08,183,"Tancs","NAVE TITAN"
"272","PA","Panamà",24.19,9.65,144,"Tancs","XENA"
"273","PA","Panamà",20.8,8.1,127,"Tancs","CHEMICAL EXPLORER"
"274","PA","Panamà",31,11.1,176,"Tancs","SW MONACO I"
"275","PA","Panamà",20.4,8.75,127.9,"Tancs","RF ALICE"
"276","PA","Panamà",20.8,8.1,126.76,"Tancs","CHEMICAL EXPLORER"
"277","PA","Panamà",27.4,11.52,184.06,"Tancs","SCHWYZ"
"278","PT","Portugal",18.8,7.36,118.14,"Tancs","AMALIE ESSBERGER"
"279","SG","Singapur",23,8.8,145,"Tancs","ERIKA SCHULTE"
"280","SG","Singapur",29.2,9.5,175,"Tancs","MAERSK BORNEO"
"281","SG","Singapur",32.2,12.81,183,"Tancs","STI MARSHALL"
"282","SG","Singapur",20.8,8.1,127,"Tancs","SWAN PRIDE"
"283","SG","Singapur",27.38,9.2,176,"Tancs","REBECCA SCHULTE"
"284","SG","Singapur",26.6,11.52,170,"Tancs","GENUINE GALAXY"
"285","SG","Singapur",29.18,9.5,175.21,"Tancs","MAERSK BELFAST"
"286","SG","Singapur",32.2,13.28,183,"Tancs","BW HAWK"
"287","AG","Antigua i Barbuda",12.8,5.67,100,"Càrrega (Lo-Lo)","GULF BLUE"
"288","BS","Bahames",32.26,14.64,229,"Granelers","JAWOR"
"289","BS","Bahames",32.26,14.6,229,"Granelers","ORNAK"
"290","BS","Bahames",32.26,14.43,228.99,"Granelers","NEA ELPIS"
"291","HK","Hong Kong",32.25,14.5,229,"Granelers","BBG ENDEAVOR"
"292","HK","Hong Kong",32.25,12.95,200,"Granelers","XING SHOU HAI"
"293","LR","Libèria",36.5,13.97,228,"Granelers","KANG MAY"
"294","LR","Libèria",32,10.52,180,"Granelers","TRAMMO BAUMANN"
"295","LR","Libèria",32.26,14.58,229,"Granelers","NEW EXPLORER"
"296","LR","Libèria",32.26,14.2,225,"Granelers","CABRILLO"
"297","LR","Libèria",38,14.9,229.2,"Granelers","ZEUS"
"298","LR","Libèria",28.4,10.8,179.9,"Granelers","AGIOS NIKOLAOS"
"299","MH","Illes Marshall",32.26,14.43,229,"Granelers","MONT FORT"
"300","MH","Illes Marshall",32.26,13.3,200,"Granelers","GLORY HARVEST"
"301","MH","Illes Marshall",32.24,13,200,"Granelers","YASA JUPITER"
"302","MH","Illes Marshall",32.26,14.52,229,"Granelers","GOLDEN GINGER"
"303","MH","Illes Marshall",32.26,14.17,224.9,"Granelers","GOLDEN AMBER"
"304","MH","Illes Marshall",32.26,12.03,189.99,"Granelers","ELLIE M"
"305","MH","Illes Marshall",28.4,10.17,179.9,"Granelers","ALEXANDROS III"
"306","PA","Panamà",32.26,14.58,228.99,"Granelers","THUNDER ISLAND"
"307","PA","Panamà",32.26,14.43,228.99,"Granelers","MEDI SYDNEY"
"308","PA","Panamà",29.8,10.54,179.97,"Granelers","BUNUN WISDOM"
"309","PA","Panamà",23,8.32,137.03,"Granelers","LADY SEMA"
"310","PA","Panamà",30,9.93,176.99,"Granelers","DAIWAN ELEGANCE"
"311","SG","Singapur",29.8,10.54,179.97,"Granelers","IMOGEN"
"312","TR","Turquia",32.24,14.57,229,"Granelers","YASA H. MULLA"
"313","SG","Singapur",33.91,9.5,216.19,"Tancs","LERICI"
"314","CY","Xipre",14.4,6.3,99.95,"Càrrega (Lo-Lo)","CEMBROOK"
"315","MH","Illes Marshall",30,9.8,180,"Granelers","ORIENT TIDE"
"316","MH","Illes Marshall",32.26,12.95,189.99,"Granelers","IBIS BULKER"
"317","MH","Illes Marshall",32.26,12.6,190,"Granelers","GENCO HUNTER"
"318","MH","Illes Marshall",32,10.5,179.95,"Granelers","TOMINI KAIMAI"
"319","NO","Noruega",32.26,12.95,189.99,"Granelers","SPAR RIGEL"
"320","PA","Panamà",19.4,8.07,113,"Granelers","AQUIS PERLA"
"321","IT","Itàlia",31.1,8,196,"Car-carrier","GRANDE ROMA"
"322","IT","Itàlia",31.1,9,177,"Ro-Ro","GRANDE ANVERSA"
"323","IT","Itàlia",36.45,9.5,200,"Car-carrier","GRANDE HOUSTON"
"324","IT","Itàlia",31.1,8.75,176.5,"Car-carrier","GRANDE PORTOGALLO"
"325","IT","Itàlia",31.1,9,176,"Car-carrier","GRANDE SPAGNA"
"326","IT","Itàlia",31.1,8.75,176.6,"Ro-Ro","GRANDE ANVERSA"
"327","IT","Itàlia",31.1,9,177,"Car-carrier","GRANDE COLONIA"
"328","IT","Itàlia",31.1,9,176,"Ro-Ro","GRANDE DETROIT"
"329","MT","Malta",28,8.72,169.59,"Car-carrier","NEPTUNE ITHAKI"
"330","PA","Panamà",37.5,9.93,200,"Car-carrier","DRIVE GREEN HIGHWAY"
"331","PA","Panamà",37.2,10.52,199.98,"Car-carrier","VICTORIA HIGHWAY"
"332","CY","Xipre",23.4,6.02,150.43,"Transbordadors","DENIA CIUTAT CREATIVA"
"333","CY","Xipre",25.6,6.53,186,"Transbordadors","KERRY"
"334","CY","Xipre",23.4,6.02,150,"Transbordadors","DENIA CIUTAT CREATIV"
"335","CY","Xipre",25.6,6.79,186.46,"Transbordadors","HYPATIA DE ALEJANDRIA"
"336","CY","Xipre",25.6,6.79,186.6,"Transbordadors","HYPATIA DE ALEJANDRI"
"337","CY","Xipre",25.6,6.85,186,"Transbordadors","HEDY LAMARR"
"338","DZ","Algèria",24.29,9.5,172,"Portacontenidors","CIRTA"
"339","DZ","Algèria",21.41,8.05,139,"Càrrega (Lo-Lo)","TITTERI"
"340","DZ","Algèria",24.29,9.5,171.9,"Portacontenidors","DJANET"
"341","DZ","Algèria",24.29,9.5,171.9,"Portacontenidors","CIRTA"
"342","DZ","Algèria",28.1,9.5,169.95,"Portacontenidors","TAMANRASSET"
"343","ES","Espanya",26,6.3,190,"Transbordadors","ABEL MATUTES"
"344","ES","Espanya",26,6.3,190.5,"Transbordadors","ABEL MATUTES"
"345","IT","Itàlia",37.5,10.5,239,"Ro-Ro","JOLLY CRISTALLO"
"346","IT","Itàlia",37.5,11.5,240,"Ro-Ro","JOLLY COBALTO"
"347","LR","Libèria",20.4,7.75,127,"Portacontenidors","PAFILIA"
